StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,10,22.95,S,0,5050703619806,,,N,FEBA
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,11,22.95,S,3,5050703619813,,,N,FEBA
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,12,22.95,S,0,5050703619820,,,N,
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,3,21.95,S,0,5050703608589,,,N,
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,4,21.95,S,0,5050703608596,,,N,
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,5,21.95,S,1,5050703608602,,,N,
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,6,21.95,S,11,5050703608619,,,N,FEBA
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,7,22.95,S,12,5050703608626,,,N,
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,8,22.95,S,20,5050703608633,,,N,FEBA
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703608640,,,N,FEBA
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,10,22.95,S,10,5050703608657,,,N,FEBA
B 430GB,GRAFTERS,,Waxy Brown,Crazyhorse Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,11,22.95,S,7,5050703608664,,,N,
