StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703661867,,,N,
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,10,22.95,S,20,5050703661874,,,N,
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,11,22.95,S,20,5050703661881,,,N,
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,12,22.95,S,18,5050703661898,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,3,21.95,S,0,5050703619837,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,4,21.95,S,6,5050703619844,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,5,21.95,S,13,5050703619851,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,6,21.95,S,12,5050703619868,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,7,22.95,S,8,5050703619875,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,8,22.95,S,20,5050703619882,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703619899,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,10,22.95,S,20,5050703619905,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,11,22.95,S,17,5050703619912,,,N,
B 430TS,GRAFTERS,,Tan,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,12,22.95,S,8,5050703619929,,,N,
